transaction_id,cardholder_id,merchant_id,merchant_category,transaction_timestamp,transaction_hour,transaction_day_of_week,transaction_amount_inr,country_code,is_international,pos_entry_mode,velocity_last_1h,velocity_last_24h,avg_txn_amount_30d,std_txn_amount_30d,distance_from_home_km,card_age_days,credit_limit_inr,is_fraud
TXN00012767,CH_004461,MER_00389,restaurant,2023-10-28 08:59:47,8,5,291.07,IN,0,CNP,2,2,67.88,385.43,178.6,1417,50000,0
TXN00046769,CH_005639,MER_00196,restaurant,2023-09-08 23:56:49,23,4,221.33,IN,0,SWIPE,3,4,49.88,322.25,184.1,1792,200000,0
TXN00046574,CH_000863,MER_00454,utilities,2023-09-26 21:01:05,21,1,231.06,IN,0,CHIP,3,2,31.52,369.7,127.6,859,75000,0
TXN00020038,CH_005930,MER_00391,healthcare,2023-04-11 23:06:34,23,1,211.16,IN,0,CHIP,1,1,134.1,376.04,196.4,1491,50000,0
TXN00002610,CH_006182,MER_00157,healthcare,2023-09-20 19:31:44,19,2,139.86,IN,0,CHIP,3,2,119.01,132.11,43.6,347,150000,0
TXN00010961,CH_001421,MER_00579,restaurant,2023-02-26 19:00:35,19,6,172.42,IN,0,SWIPE,2,0,33.91,267.62,213.2,212,150000,0
TXN00025111,CH_003548,MER_00353,fuel,2023-11-23 13:18:13,13,3,173.78,IN,0,SWIPE,1,5,61.03,289.37,184.1,934,150000,0
TXN00045500,CH_006089,MER_00098,entertainment,2023-04-04 21:20:06,21,1,127.64,IN,0,CHIP,1,1,148.52,181.26,297.0,572,200000,0
TXN00027986,CH_003401,MER_00555,fuel,2023-01-20 01:05:31,1,4,146.98,IN,0,CHIP,3,0,41.33,216.89,64.5,158,500000,0
TXN00005460,CH_001948,MER_00262,jewellery,2023-02-04 10:51:53,10,5,734.34,IN,0,CHIP,0,8,122.15,40.3,178.2,500,50000,0
TXN00016070,CH_005096,MER_00093,grocery,2023-09-01 03:17:39,3,4,91.72,IN,0,CHIP,1,8,108.91,277.66,286.4,934,50000,0
TXN00041710,CH_001904,MER_00594,utilities,2023-07-29 14:43:52,14,5,92.86,IN,0,CHIP,3,8,123.82,243.02,168.3,1603,200000,0
TXN00026768,CH_002608,MER_00787,healthcare,2023-12-19 20:06:36,3,1,459.82,IN,0,CHIP,11,10,70.94,186.98,4178.3,1552,150000,1
TXN00011478,CH_003397,MER_00744,grocery,2023-12-24 00:19:30,0,6,93.67,IN,0,CHIP,3,3,107.72,218.15,282.9,1175,100000,0
TXN00030116,CH_003385,MER_00433,travel,2023-01-14 13:52:41,13,5,59.64,IN,0,SWIPE,1,6,43.84,322.98,169.3,416,300000,0
TXN00004573,CH_007646,MER_00751,online_retail,2023-10-07 10:54:47,10,5,143.94,IN,0,CHIP,2,4,359.42,243.8,23.6,614,500000,0
TXN00025226,CH_005427,MER_00694,restaurant,2023-03-26 02:59:44,2,6,35.83,IN,0,SWIPE,2,8,143.93,279.01,286.9,454,500000,0
TXN00054912,CH_006191,MER_00237,entertainment,2023-12-23 19:45:13,19,5,36.32,IN,0,CHIP,3,3,122.57,122.61,61.3,182,150000,0
TXN00005095,CH_007793,MER_00472,healthcare,2023-10-15 13:58:12,13,6,165.77,AE,1,CNP,0,6,121.54,26.98,173.6,1200,500000,0
TXN00032394,CH_007670,MER_00420,healthcare,2023-02-14 04:05:50,4,1,427.38,IN,0,CHIP,0,2,67.53,243.62,113.6,1080,75000,0
TXN00045436,CH_000599,MER_00234,fuel,2023-11-21 12:51:25,12,1,23.78,IN,0,CHIP,0,4,375.86,203.9,130.5,1487,50000,0
TXN00006504,CH_001631,MER_00490,restaurant,2023-11-19 17:53:29,17,6,271.14,IN,0,SWIPE,1,6,138.08,241.01,230.3,936,300000,0
TXN00049242,CH_006169,MER_00247,entertainment,2023-01-21 15:29:38,15,5,515.33,IN,0,CHIP,2,7,341.37,302.18,61.3,1378,300000,0
TXN00040536,CH_006345,MER_00171,healthcare,2023-11-18 16:38:53,16,5,121.48,JP,1,CHIP,1,2,156.43,348.68,244.1,632,100000,0
TXN00018207,CH_004335,MER_00014,jewellery,2023-05-16 22:19:32,22,1,39.12,IN,0,CHIP,1,3,300.35,328.23,25.9,253,75000,0
TXN00008157,CH_002383,MER_00755,jewellery,2023-10-29 03:05:26,3,6,177.07,IN,0,SWIPE,1,4,302.74,182.61,210.3,1039,100000,0
TXN00004087,CH_001058,MER_00411,travel,2023-11-09 12:33:51,12,3,203.01,IN,0,CHIP,3,2,44.37,134.14,20.0,789,50000,0
TXN00003923,CH_000298,MER_00374,travel,2023-01-25 22:45:36,22,2,94.69,IN,0,SWIPE,1,5,66.22,273.47,68.6,453,100000,0
TXN00000976,CH_003051,MER_00037,online_retail,2023-05-01 22:28:41,22,0,312.02,IN,0,CHIP,0,7,87.62,284.05,250.9,583,100000,0
